Org Unit,Org Unit Code,OU Short Name,Org Unit Id,Parent Id
Dolo Health Centre,3305,Dolo-HC,SOwb9qUKJnt,GeGgihdOJ2p
Doloba Village Clinic,,Doloba VC,Etw215OUA2j,UNLZJ1Nr3sq
Domasi College Clinic,,Domasi College Clinic,mZRwUTkeUC1,hrbAl7aUBwV
Domasi Rural Hospital,2706,Domasi-RH,U0YwDhBOZeY,hrbAl7aUBwV
Donda Outreach Clinic (Mlangeni),,Donda Outreach Clinic (Mlangeni),CmrGnMP8g1G,ONmU8CWhzv9
Donda Village Clinic (Mlangeni),,Donda Village Clinic (Mlangeni),PLsfZNVTkDZ,ONmU8CWhzv9
Donken Outreach Clinic (Kunenekude),,Donken Outreach Clinic (Kunenekude),wZB33O6Pv8z,tB6qZOxpIwC
Donken Village Clinic (Kunenekude),,Donken Village Clinic (Kunenekude),ADLMufdPoMw,tB6qZOxpIwC
Donosi Outreach Clinic (Kapire),,Donosi Outreach Clinic (Kapire),Rl4TR1PY5FO,bOzeauFIWQA
Dorani Outreach Clinic (Zoa),,Dorani Outreach Clinic (Zoa),hvy453xWxNH,iaUfnrbzQ9d
Doroba 2 Village Clinic,,Doroba 2 VC,fwVfyvvyaNL,dz2aFcg1wHo
Doroba Outreach Clinic,,Doroba Outreach Clinic,fn6JfRxNnHm,dz2aFcg1wHo
Doroba Village Clinic,,Doroba Village Clinic,v9esabHmxa5,dz2aFcg1wHo
Doviko Dispensary,1806,Doviko-DISP,kG4jZtoHH8f,ENQA7sOVrPw
Dowa District Hospital,1307,Dowa-Distr-Hosp,F4aQvPL4c5a,S4Lr8zJqfHx
Dowa-DHO,,Dowa-DHO,S4Lr8zJqfHx,iQx6Edf0Xib
Dowela Outreach Clinic (Chikuse),,Dowela Outreach Clinic (Chikuse),KAmvgkl2C44,Y4kaJs4jbod
Dowela Village Clinic (Chikuse),,Dowela Village Clinic (Chikuse),w3GPQQ6OfP4,Y4kaJs4jbod
Dr David Livingstone Memorial Clinic,1570,Dr David Livingstone,KvtV3ZtJGyR,MDkBXGJ5CyR
Dr Msachi's Clinic,552,Dr Msachi's Clinic,O7D48utczxD,ZMhvihfvanx
Dream,2943,Dream,xhINxzjVJ0c,FEGZA6BEAjj
Dress Outreach,,Dress Outreach,DKlGLgiiwf3,FexDaTn0HFG
Dress Village Clinic,,Dress Village Clinic,N1xrggcuUoq,FexDaTn0HFG
Dula Outreach Clinic (Mbera),,Dula Outreach Clinic (Mbera),ACLIryDw8dP,vHwtNk0Bvmi
Dulankhani  Outreach (Mulomba),,Dulankhani  Outreach (Mulomba),cAlOGLuAdhZ,ijqBzVGbncx
Dumba Outreach Clinic (Tengani ),,Dumba Outreach Clinic (Tengani ),uoGg3je4Pl9,O4OnTZDe6YW
Dumba Village Clinic (Tengani ),,Dumba Village Clinic (Tengani ),wMlaM0Oz5iw,O4OnTZDe6YW
Dumira-Bay  Village Clinic,,Dumira-Bay  Village Clinic,Zk2kheVdS1B,BFn8OYQ5lyA
Dumira-Bay Outreach Clinic,,Dumira-Bay Outreach Clinic,nGUx1z5j4wn,BFn8OYQ5lyA
