Org Unit,Org Unit Code,OU Short Name,Org Unit Id,Parent Id
20 Block Outreach Clinic,,20 Block Outreach Clinic,X5G31mcZV7K,PbfmrMdVBs3
4 Miles Outreach (Sadzi),,4 Miles Outreach (Sadzi),tL344obEikB,BuyHhYha5dP
Aaron Village Clinic (Kanyezi),,Aaron Village Clinic (Kanyezi),bFN4nAJL4Ss,U6sLs3tOzpC
Aaron Village Clinic (Kaphuka),,Aaron Village Clinic (Kaphuka),LB6jIRArFSQ,wGMlG6WZZ4q
Aa-salam Clinic,2561,Aa-salam-Clinic,e1iVoquOKVT,RBK39eC5LuY
Abasi  Outreach Clinic (Mangochi DH),,Abasi  Outreach Clinic (Mangochi DH),hmhRbqYPA5e,vGbcjNT1TSJ
Abraham Village Clinic (Golomoti),,Abraham Village Clinic (Golomoti),oHlZHt6Aqsf,DuvCctg3dhx
Abunu Village Clinic,,Abunu VC,GhLliOHShII,TusMbw27jzb
Achikondi women community,4075,AchikondiwomenCommunity,q9qra0ng8xZ,MDkBXGJ5CyR
Adam Outreach (Chipini),,Adam Outreach (Chipini),InWfvi8L0rK,imXmafCgb5n
Adam Outreach Clinic,,Adam Outreach Clinic,F80xuI5bOsJ,XnBB0NztocS
Adam Village Clinic (Chipini),,Adam Village Clinic (Chipini),ydiAeJx4vSo,imXmafCgb5n
Adamson Outreach (Chikwewo),,Adamson Outreach (Chikwewo),fROCguSkgNf,teLlh1E6CxB
Adamson Village Clinic,,Adamson V Clinic,dEkkb58AfeZ,teLlh1E6CxB
Adamson Village Clinic (Mapanga),,Adamson Village Clinic (Mapanga),jEpnDmT7MmP,XrE6S137IUq
Adamu Outreach (M'mambo),,Adamu Outreach (M'mambo),yc24z9oCEQx,PFhr83vxGgZ
ADD Outreach Clinic,,ADD Outreach Clinic,McEendCKD2r,ceJLGDr1eVI
Admarc Dispensary,1421,Admarc-DISP,jtid6arDY0M,hQXbPPfQtLy
Adventist Health Centre,4041,Adventist-HC,E3kLgwow7On,MDkBXGJ5CyR
African Bible College Health Centre,4040,African-Bible-College-HC,zYfP0gkHRJH,MDkBXGJ5CyR
Agripa Outreach Clinic,,Agripa Outreach Clinic,LGo3XorjUjr,aLanDLYSxOP
Agripa Village Clinic,,Agripa Village Clinic,DEDGW9GkEjP,aLanDLYSxOP
Ahi Private Clinic,2753,Ahi Private Clinic,VoTfUk9ncoD,hrbAl7aUBwV
Airwing Clinic,4046,Airwing Clinic,V7m6S5TIpqf,MDkBXGJ5CyR
Airwing Clinic (Zomba),,Airwing Clinic (Zomba),FLu5HmxHlNM,hrbAl7aUBwV
Akasale Outreach Clinic (Bilal),,Akasale Outreach Clinic (Bilal),uLxnroFTAua,KxcbdpaFBia
Akasale Pvt Clinic,,Akasale Pvt Clinic,qNuRHXJ2P3m,CTdWtNCPRNh
Akhonde Outreach Clinic,,Akhonde Outreach Clinic,zis9StLFsiM,Fz0tDlXVsn3
Akhonde Village Clinic,,Akhonde Village Clinic,J1q8HFAyy07,Fz0tDlXVsn3
Akubilila I Village Clinic (Bilila),,Akubilila I Village Clinic (Bilila),YYXQ4ZU7cGH,pPHM09AVDAS
Alabi Machemba Outreach Clinic (Iba),,Alabi Machemba Outreach Clinic (Iba),QDxAfGoCHpK,FZw4GOFV5X0
Alawe Outreach (Likangala),,Alawe Outreach (Likangala),SsybZqNh6Al,LBeMMNRQSoU
Albinism clinic,,Albinism clinic,rG5mfsvJPKp,aHZkp6KyuD7
Alenga Village Clinic (Chongoni),,Alenga Village Clinic (Chongoni),l4HFfSzGP4Q,LkjXIWw5W9v
Alibelito Outreach Clinic (Bembeke),,Alibelito Outreach Clinic (Bembeke),YNxOMYiMgcI,spQpsut9f1B
Alick Ndabandaba Outreach Clinic,,Alick Ndabandaba Outreach Clinic,ZJJ8Cko7IZ3,H58PMzo9Xii
Alinafe Community Hospital,1113,Alinafe Community Hospital,Y46sxDDIkfz,HxjTgTNq2YD
Alindiamao Outreach Clinic (Kanyimbi),,Alindiamao Outreach Clinic (Kanyimbi),BqQlQm9qrkT,AbJbZQt4UJs
Alindiamao Village Clinic (Kanyimbi),,Alindiamao Village Clinic (Kanyimbi),zizl1Jg6aeA,AbJbZQt4UJs
Alliance One Clinic,4047,Alliance One Clinic,wDyK6ODo0vg,MDkBXGJ5CyR
Alufandika Outreach Clinic (Lulwe),,Alufandika Outreach Clinic (Lulwe),aASXxHV6G1Y,ftIjkXg1oCr
Alufandika Village Clinic (Lulwe),,Alufandika Village Clinic (Lulwe),WXJsJ90LvJi,ftIjkXg1oCr
Alumenda Health Centre,3323,Alumenda Health Centre,NG36oCEzUcC,GeGgihdOJ2p
Amalika Dispensary,3126,Amalika-DISP,lIGQGBEICWx,gd6cNp4HjsE
Ambali Village Clinic,,Ambali Village Clinic,MVNrCZrCjLj,eLLoifuK7RA
Amidu Outreach Clinic (Chitedze),,Amidu Outreach Clinic (Chitedze),MptJBWAX8P2,Xc3odqjv7h0
Amonitsute Outreach Clinic (Balaka),,Amonitsute Outreach Clinic (Balaka),XTKgc7FhblC,R96XZz9y9Ji
Amosi Outreach Clinic (Kunenekude),,Amosi Outreach Clinic (Kunenekude),MFaAl9wgnNk,tB6qZOxpIwC
Amosi Village Clinic (Kunenekude),,Amosi Village Clinic (Kunenekude),BEJmqfBbxVg,tB6qZOxpIwC
Anaesthesia Department,,Anaesthesia Department,SPPjq48vk8o,xR6l67TETM8
Anansi Chipanda Village Clinic (Sadzi),,Anansi Chipanda Village Clinic (Sadzi),IlJGczbbF8v,BuyHhYha5dP
Anchor Farm Health Centre,1033,Anchor Farm Health Centre,lXEN2NtidAc,QWwg51OvU0a
Andarasani Outreach Clinic (Mbera),,Andarasani Outreach Clinic (Mbera),HT2w6T2CODw,vHwtNk0Bvmi
Anglican Outreach Clinic (Thekerani),,Anglican Outreach Clinic (Thekerani),h8pP7yXOvnZ,INxuyEdPFCm
Anglican Village Clinic (Thekerani),,Anglican Village Clinic (Thekerani),oadEoLjWqXB,INxuyEdPFCm
Antenatal ward,,Antenatal ward,UoVIQM2g4Fn,IJmW4oX63UE
Area 12 Outreach Clinic (Lilongwe City Council),,Area 12 Outreach Clinic (Lilongwe City Council),iEstsqHrpk5,m6bNWBsRDsi
Area 15 Outreach Clinic (Lilongwe City Council),,Area 15 Outreach Clinic (Lilongwe City Council),OdHfxmZi1hT,m6bNWBsRDsi
Area 18 Medi Clinic,4076,Area 18 Medi Clinic,sXNwy8bRFub,MDkBXGJ5CyR
Area 18 Urban Health Centre,1501,Area-18-Urban-HC,h2ls2FUTYDc,MDkBXGJ5CyR
Area 25 Banja La Mtsogolo Dispensary,4042,Area25-BLM-DISP,CbwhI6UruPB,MDkBXGJ5CyR
Area 25 Urban Health Centre,1502,Area-25-Urban-HC,mFfOvxjq4y2,MDkBXGJ5CyR
Area 30 Police Clinic,4048,Area 30 PolAreaice Clinic,LAO8ozAkDKO,MDkBXGJ5CyR
Area 36 Outreach Clinic (Lilongwe City Council),,Area 36 Outreach Clinic (Lilongwe City Council),NrKgGjXz5uv,m6bNWBsRDsi
Area 36 Private Clinic,,Area 36 Private Clinic,jXwJTKL2NOh,MDkBXGJ5CyR
Area 49 Outreach Clinic (Lilongwe City Council),,Area 49 Outreach Clinic (Lilongwe City Council),fW8fcmZjwF5,m6bNWBsRDsi
Aromazia Outreach Clinic (Chipho),,Aromazia Outreach Clinic (Chipho),FTEb2vBLpd1,xJQqTtpdsHP
Aromazia Village Clinic (Chipho),,Aromazia Village Clinic (Chipho),vDdcWhxzlCW,xJQqTtpdsHP
Asante  Outreach Clinic,,Asante  Outreach Clinic,YRW84nKjuRb,D4HrpFEtQRq
Atupele Community Hospital,216,Atupele-Community-Hosp,WZ18joAt6xW,WVBSPqTMrPP
Atupele Outreach (Mlomba),,Atupele Outreach (Mlomba),eg3Ozrx5uga,OUiAuB0Uc7D
Atupele Village Clinic,,Atupele V Clinic,MeqllfXjkgu,OUiAuB0Uc7D
Auction Holdings Clinic Kanengo,4049,Auction Holdings Clinic Kanengo,RpvcgQPC14I,MDkBXGJ5CyR
Austin Village Clinic (Didi),,Austin Village Clinic (Didi),eEYp866Q27l,AkP3EOq0hGk
Baani Outreach (Chitekesa),,Baani Outreach (Chitekesa),Q18LAf9S1jW,u4mqH5iShLL
Babitoni Village Clinic,,Babitoni VC,cVw4AB1LrEG,pkMXL4XF9ie
Bahasi Outreach,,Bahasi Outreach,Vy3SYTIyWjz,Z4phqEA2Pcr
Bakali Village Clinic,,Bakali V Clinic,pM2zDR7KDXb,teLlh1E6CxB
Bakili Village Clinic,,Bakili VC,Tel5ldiHcz5,VdDtiG3fZ9A
Bakuwa Outreach Clinic (Malamulo SDA),,Bakuwa Outreach Clinic (Malamulo SDA),FLpVYLZ6std,UKeSrLQeuCm
Bakuwa Village Clinic (Malamulo SDA),,Bakuwa Village Clinic (Malamulo SDA),q5CYpMvZNe7,UKeSrLQeuCm
Bala Health Post,,Bala Health Post,GPnjNudsTOF,CZXbHCpGcTW
Bala Outreach Clinic,,Bala Outreach Clinic,dBe9jI1UFvW,CZXbHCpGcTW
Bala Village Clinic,,Bala VC,umSTsF9lJ9O,cQ41y2ym2RV
Bala Village Clinic (Njuyu),,Bala Village Clinic (Njuyu),KJAFl3rYRG5,CZXbHCpGcTW
Balaka District Hospital,3601,Balaka-Distr-Hosp,R96XZz9y9Ji,qubeTudDNSC
Balaka Dream Clinic,3614,Balaka Dream Clinic,aMWj5wusSxW,qubeTudDNSC
Balaka OPD Health Centre,,Balaka-OPD-HC,XysHbVxy3XW,qubeTudDNSC
Balaka-DHO,,Balaka-DHO,qubeTudDNSC,yeGIr7J6nX7
Balakasi Outreach (Mangamba),,Balakasi Outreach (Mangamba),FrbvHQ3szIb,zt2Jzw6wUcc
Balakasi Outreach Clinic (Mauwa),,Balakasi Outreach Clinic (Mauwa),Ejlyo7cYAIa,F6BWHBSv59O
Balakasi Village Clinic,,Balakasi V Clinic,RRQ4donDRkO,zt2Jzw6wUcc
Balakasi Village Clinic (Chiradzulu),,Balakasi V Clinic (Chiradzulu),zw6LBCPbVl1,F6BWHBSv59O
Balala Outreach Clinic (Nakalanzi),,Balala Outreach Clinic (Nakalanzi),Utz71F8w6s0,yRUuIksTiLm
Balanguzi Outreach Clinic (Trinity),,Balanguzi Outreach Clinic (Trinity),MxUY8J1bJJS,iRQXiwCxsE8
Balanguzi Village Clinic (Trinity),,Balanguzi Village Clinic (Trinity),fFl1pWK9ONj,iRQXiwCxsE8
Balani Outreach Clinic (Mitundu),,Balani Outreach Clinic (Mitundu),FA81bf9CbmI,aVmCsQGN0r1
Balani Village Clinic (Mitundu),,Balani Village Clinic (Mitundu),sPxMl2wLnql,aVmCsQGN0r1
Balaza Outreach,,Balaza Outreach,Zy7wnXWbPex,fQCAaNl0UMA
Bale Outreach Clinic,,Bale Outreach Clinic,oNZTbyMuwmI,M7TlHaVIPLz
Bale Outreach Clinic (Mzokoto),,Bale Outreach Clinic (Mzokoto),PzcdH7V1qtD,bYR9HESsWKd
Bale Village Clinic,,Bale Village Clinic,bfmEHu78IYs,M7TlHaVIPLz
Bale Village Clinic (Mzokoto),,Bale Village Clinic (Mzokoto),yNesl7AcRK7,bYR9HESsWKd
Baluti Outreach,,Baluti Outreach,pjnBydenma0,gTkYqxfVTM0
Bamba I Outreach Clinic,,Bamba I Outreach Clinic,D8xc8mrvMj2,rKEqKuoGeKQ
Bamba I Village Clinic,,Bamba I Village Clinic,vHeCy2ewCNZ,rKEqKuoGeKQ
Bamba Ii Outreach Clinic,,Bamba Ii Outreach Clinic,QkTw2fzwLEW,rKEqKuoGeKQ
Bamba Ii Village Clinic,,Bamba Ii Village Clinic,dYlhw953xG7,rKEqKuoGeKQ
Bamba Outreach Clinic,,Bamba Outreach Clinic,UY3jo42D4oG,FWZnvXYdJV6
Bamba Outreach Clinic,,Bamba Outreach Clinic,x82RJtDMQD4,FWZnvXYdJV6
Bamusi Outreach Clinic (Chilipa),,Bamusi Outreach Clinic (Chilipa),vYWuR9bOzGy,fwUSM7rJllv
Bamusi Village Clinic,,Bamusi VC,Ub6pfrBYPL9,fwUSM7rJllv
Bandawe Outreach Clinic,,Bandawe Outreach Clinic,nBzbV0nLEKv,p9HxhQYtEuW
Bandawe Outreach Clinic (Chintheche),,Bandawe Outreach Clinic (Chintheche),AX8mvxhH7yV,jkmHTPe5MLQ
Bandawe Outreach Clinic (Milepa),,Bandawe Outreach Clinic (Milepa),StIqH9Nb5Of,MH3qGNRGA9d
Bandawe Village Clinic,,Bandawe VC,vF6imtF3NNN,p9HxhQYtEuW
Bandawe Village Clinic (Chintheche),,Bandawe Village Clinic (Chintheche),sACR3WsO5Ex,jkmHTPe5MLQ
Bandawe Village Clinic (Matiya),,Bandawe Village Clinic (Matiya),UN1AaDIdNl0,omQ3TWOHcDR
Bandawe Village Clinic (Mikolongwe),,Bandawe Village Clinic (Mikolongwe),z7QCCRhlYiA,ZEhFEU99s7M
Banga Outreach Clinic,,Banga Outreach Clinic,Se2Ys4zMxgA,tTaiG5Qrcyr
Banga Village Clinic,,Banga Village Clinic,x4BGVSd2Off,tTaiG5Qrcyr
Bango Outreach Clinic (Lobi),,Bango Outreach Clinic (Lobi),NmP72UX91Ao,yEDgnTigUVO
Bango Village Clinic,,Bango Village Clinic,vt5PyUGFCUo,s79dCXbcoCA
Bango Village Clinic (Lobi),,Bango Village Clinic (Lobi),rX1LVRPug9l,yEDgnTigUVO
Bangwe  Outreach Clinic,,Bangwe  Outreach Clinic,MlOqA5pI1mQ,n6UZ8o9yo6L
Bangwe  Village Clinic,,Bangwe  Village Clinic,dBXmjcxhOmk,n6UZ8o9yo6L
Bangwe BLM Clinic,,Bangwe BLM Clinic,xidxjaQqU54,FEGZA6BEAjj
Bangwe Blm Outreach,,Bangwe Blm Outreach,Qu4g0XYYZXn,Z4phqEA2Pcr
BANGWE DIC,,BANGWE DIC,NuOdab4jvON,FEGZA6BEAjj
Bangwe Health Centre,2924,Bangwe-HC,Z4phqEA2Pcr,FEGZA6BEAjj
Banja care clinic,,Banja CC,jL2JbGhQz9r,rUBJcTYUnAE
Banja La Mtsogolo,,BLM,EyWA2myTxGN,irf8hxUohn5
Banja La Mtsogolo,,BLM,xEqkHLDUMPx,ENQA7sOVrPw
Banja La Mtsogolo Mzuzu,550,Banja La Mtsogolo Mzuzu,Sb8xVmXyL5p,ZMhvihfvanx
Banja La Mtsogolo Outreach Clinic,,Banja La Mtsogolo Outreach Clinic,LtLl26yRVrk,cQ41y2ym2RV
Bapton Outreach Clinic (Chipwaila),,Bapton Outreach Clinic (Chipwaila),HMuodeENudL,pkMXL4XF9ie
Basale Village Clinic,,Basale VC,mezMjbezHof,ijqBzVGbncx
Baula Outreach Clinic,,Baula Outreach Clinic,mhjouAZHYNx,jcv5nI6bzTq
Baula Village Clinic,,Baula VC,Q7FRmVnFQFg,HFKrnnX40ZR
Baula Village Clinic (Ekwendeni),,Baula Village Clinic (Ekwendeni),PlVZKE0d0zz,jcv5nI6bzTq
Bauleni Outreach Clinic (Magareta),,Bauleni Outreach Clinic (Magareta),awlUewvpmKg,NFqFeBSH2Re
Bavi Outreach Clinic,,Bavi Outreach Clinic,fZIw6xnvLxW,AlGl0pjBwFS
Bavi Village Clinic,,Bavi Village Clinic,ZM2LwQWV20L,AlGl0pjBwFS
Bawa Outreach Clinic,,Bawa Outreach Clinic,D7Rg277eTlv,H58PMzo9Xii
Bawa Outreach Clinic (Katowo),,Bawa Outreach Clinic (Katowo),woOIR3tCKbx,TgIZdG9r95r
Bawi Outreach Clinic (Msiyaludzu),,Bawi Outreach Clinic (Msiyaludzu),hZtZCzyKU8J,GYlTZXKcHxA
Bawi Village Clinic (Msiyaludzu),,Bawi Village Clinic (Msiyaludzu),NVJklQUINuW,GYlTZXKcHxA
Bayani Outreach Clinic (Tsangano),,Bayani Outreach Clinic (Tsangano),nUDgn8023UO,rLjop5TPyxt
Bayani Village Clinic (Tsangano),,Bayani Village Clinic (Tsangano),tKYcGM5wgEw,rLjop5TPyxt
Bayisoni Outreach Clinic (Khonjeni),,Bayisoni Outreach Clinic (Khonjeni),WgFcmfxFMae,UkXVvwCLQgO
Bayisoni Village Clinic (Khonjeni),,Bayisoni Village Clinic (Khonjeni),rUJzOhknZ0B,UkXVvwCLQgO
Baylor Childrens Centre Of Excellence In Malawi,4077,Baylor Childrens Centre Of Excellence In Malawi,yl49po4W4F7,MDkBXGJ5CyR
Bca Outreach,,Bca Outreach,pPgoar7RGDN,Z4phqEA2Pcr
Bejemani Outreach Clinic,,Bejemani Outreach Clinic,PmB4u5nZ0g4,bWYHqt0OcHy
Bejemani Village Clinic,,Bejemani Village Clinic,f1oMWEfzGGY,bWYHqt0OcHy
Beka Outreach Clinic (Montfort),,Beka Outreach Clinic (Montfort),NcH1evfoGLE,a8NecI8jzqL
Beka Outreach Clinic (Ngabu),,Beka Outreach Clinic (Ngabu),pKnw1pZBN2L,r1idesX7bX6
Beka Village Clinic (Montfort),,Beka Village Clinic (Montfort),hmDNRF9tR4P,a8NecI8jzqL
Beka Village Clinic (Ngabu),,Beka Village Clinic (Ngabu),ZZWIKniljjr,r1idesX7bX6
Belele Outreach Clinic,,Belele Outreach Clinic,OWYWFascEzV,ZROS5WSviIN
Belele Village Clinic,,Belele Village Clinic,mce0tUgwVI1,ZROS5WSviIN
Belethe Outreach Clinic (Dolo),,Belethe Outreach Clinic (Dolo),YRiiDTj4qNA,SOwb9qUKJnt
Belethe Village Clinic (Dolo),,Belethe Village Clinic (Dolo),JrN3H38RAix,SOwb9qUKJnt
Belo Outreach (Ngwelero),,Belo Outreach (Ngwelero),WelW7igWViP,grLzTEcg70S
Belo Outreach Clinic (Katema),,Belo Outreach Clinic (Katema),W7gZYQ4cQaV,gNaXoVYpN1v
Bembe Outreach Clinic,,Bembe Outreach Clinic,mbfbTLbz78E,JeN3ydrU4lR
Bembe Village Clinic,,Bembe Village Clinic,aMXCbSh2uXu,JeN3ydrU4lR
Bembeke Health Centre,1701,Bembeke-HC,spQpsut9f1B,MHcRPWjeguM
Ben Tchauya Village Clinic (Dzunje),,Ben Tchauya Village Clinic (Dzunje),kzucods4RKu,mxlb6XxX6cp
Benard Outreach Clinic (Helena Oakly),,Benard Outreach Clinic (Helena Oakly),GTxdwqAq30M,v6gj70cBiQE
Benesi Outreach Clinic (Sharpvale),,Benesi Outreach Clinic (Sharpvale),KxtURJrrN2F,Wwu7pZG2KuR
Benga Health Centre,1101,Benga-HC,n6UZ8o9yo6L,HxjTgTNq2YD
Benga Ii Village Clinic,,Benga Ii Village Clinic,aDW6kyYLQRs,Y46sxDDIkfz
Beni Golombe Outreach Clinic (Dzonzi Mvai),,Beni Golombe Outreach Clinic (Dzonzi Mvai),nYJ3ihb7Jkr,fH7hgQtTEvy
Beni Golombe Village Clinic (Dzonzi Mvai),,Beni Golombe Village Clinic (Dzonzi Mvai),bbwzDeHYqjo,fH7hgQtTEvy
Beni Outreach Clinic (Chiunjiza),,Beni Outreach Clinic (Chiunjiza),NfuB1cJzyZ1,HTfgCPyMHUx
Beni Outreach Clinic (Namadzi),,Beni Outreach Clinic (Namadzi),iWvzZmYSh2A,bthDRjgyzgo
Beni Village Clinic,,Beni V Clinic,lSXXAkKx8oh,bthDRjgyzgo
Beni Village Clinic (Chiunjiza),,Beni Village Clinic (Chiunjiza),YvBc4irGvHP,HTfgCPyMHUx
Benito Outreach Clinic (Chikwawa DH),,Benito Outreach Clinic (Chikwawa DH),BW03YO5UaYl,JQw6oDs7C6C
Benjamin Outreach,,Benjamin Outreach,ZL5h9m6opad,oT0jXXNSmag
Benjamin Village Clinic,,Benjamin Village Clinic,CAGrL4hA40n,oT0jXXNSmag
Benthu Outreach Clinic,,Benthu Outreach Clinic,ecY8DfzEDVs,I6ZujG9AVcl
Bentoto Village Clinic (Chingale),,Bentoto Village Clinic (Chingale),C4b2k0sOQoc,o0hXXoxJnMI
Bera Outreach Clinic,,Bera Outreach Clinic,sXkuxVjJo9e,CyLPblDfB5N
Bera Village Clinic,,Bera Village Clinic,kOgtjhqnbAm,CyLPblDfB5N
Bereu Dispensary,3322,Bereu-DISP,FO0kNPmm5E9,GeGgihdOJ2p
Beston Village Clinic (Khonjeni),,Beston Village Clinic (Khonjeni),S47JZJqKcs5,UkXVvwCLQgO
Betere Outreach Clinic,,Betere Outreach Clinic,hBmnmnFHGwP,Oc3g2Wv2s5M
Betere Village Clinic,,Betere Village Clinic,BlaaaTfsKUP,Oc3g2Wv2s5M
Betha Outreach Clinic,,Betha Outreach Clinic,V2WCinsTNvT,bYR9HESsWKd
Bethsaida Private Hospital,4060,Bethsaida Private Hospital,zdVWMYRfufn,MDkBXGJ5CyR
Beu Village Clinic,,Beu VC,nuroTUq2hh1,qY3GH22ifOb
Beula Outreach Clinic (Khonjeni),,Beula Outreach Clinic (Khonjeni),ket3oUoxdDv,UkXVvwCLQgO
Beula Village Clinic (Khonjeni),,Beula Village Clinic (Khonjeni),sQoz5RK86vV,UkXVvwCLQgO
Bewu Outreach Clinic,,Bewu Outreach Clinic,Bz2Ep8QRuhu,qY3GH22ifOb
Bhankhazi Outreach Clinic,,Bhankhazi Outreach Clinic,oZJ2oA8w1eD,eEEYKm78UBf
Bhankhazi Village Clinic,,Bhankhazi Village Clinic,hrNFscOcvwG,eEEYKm78UBf
Bifimoni Village Clinic,,Bifimoni VC,rKcSSrUSZtb,ilA4dQOCNDP
Bigha Outreach Clinic,,Bigha Outreach Clinic,dseyzTpzE84,H8jU8sCWscO
Bigha Village Clinic,,Bigha Village Clinic,zcDrnfJB6Mt,H8jU8sCWscO
Bilal Dispensary,2811,Bilal-DISP,KxcbdpaFBia,CTdWtNCPRNh
Bile Village Clinic,,Bile VC,fWDDXHbjkQU,r1idesX7bX6
Bilira Health Centre,1801,Bilira-HC,pPHM09AVDAS,ENQA7sOVrPw
Biliyati Outreach Clinic (Katsekela),,Biliyati Outreach Clinic (Katsekela),ECoksnqTqxW,Mby0tOuLfvm
Biliyati Village Clinic (Katsekela),,Biliyati Village Clinic (Katsekela),AKEAhrKfpxA,Mby0tOuLfvm
Billy Riordan Memorial Health Clinic,2567,Billy Riordan Memorial Health Clinic,qQOkofJwpxB,RBK39eC5LuY
Bimbi Health Centre,2701,Bimbi-HC,gS8A33Rsqjr,hrbAl7aUBwV
Binali  Outreach Clinic (Chilonga),,Binali  Outreach Clinic (Chilonga),BuV18MbX0en,Px30WvhGQQf
Binali  Outreach Clinic (Lugola),,Binali  Outreach Clinic (Lugola),dCaBR8q3MBR,AcMkv28WWEO
Binali  Village Clinic (Chilonga),,Binali  Village Clinic (Chilonga),yN1YSuXSxRp,Px30WvhGQQf
Binali Nkanda Outreach Clinic (Makanjira),,Binali Nkanda Outreach Clinic (Makanjira),ffZ1ZKZ8Ub6,ogCJRAEA06f
Binali Village Clinic,,Binali VC,zIBZjOm3wYq,cnUCvDXttIv
Binali Village Clinic (Thuchila),,Binali VC (Thuchila),cvgJ950xMKf,xIfDdYzRS5G
Binduwindu Outreach Clinic,,Binduwindu Outreach Clinic,SdUbFIZfEP3,hDkZbRiskMg
Bingavula Outreach Clinic,,Bingavula Outreach Clinic,wbzEBRW73KC,cIJ6LCvgpw0
Bingavula Village Clinic,,Bingavula VC,vKLreicVY3b,cIJ6LCvgpw0
Bingu Outreach Clinic (Mbwatalika),,Bingu Outreach Clinic (Mbwatalika),WazJ7jEPD5T,KRmwm560Ldo
Bingu Village Clinic (Mbwatalika),,Bingu Village Clinic (Mbwatalika),aXVaKOsuwsr,KRmwm560Ldo
Binya Village Clinic (Dzunje),,Binya Village Clinic (Dzunje),H9VZVtMzvFU,mxlb6XxX6cp
Biriwiri Health Centre,1802,Biriwiri-HC,K9CYAs4mo5E,ENQA7sOVrPw
Bisai Outreach Clinic (Nathenje),,Bisai Outreach Clinic (Nathenje),rsJRIDIYDKP,AgYrPo8MW5I
Bisai Village Clinic (Nathenje),,Bisai Village Clinic (Nathenje),lp5hMKoUE8O,AgYrPo8MW5I
Bishop Mackenzie Outreach (Nasawa),,Bishop Mackenzie Outreach (Nasawa),y6jUPEZrEM2,RicJ2qmCw3g
Bisiketi Village Clinic (Mphunzi),,Bisiketi Village Clinic (Mphunzi),EEXgQ0fIXlU,eXOvuYIG9YP
Bismon Outreach Clinic (Gaga),,Bismon Outreach Clinic (Gaga),tiGqTcW1Xd1,ilA4dQOCNDP
Bitoni Outreach Clinic (Sankhulani),,Bitoni Outreach Clinic (Sankhulani),n5zz2DxefcG,xhQxgh1GSkX
Bitoni Village Clinic (Sankhulani),,Bitoni Village Clinic (Sankhulani),mH4aywvshV8,xhQxgh1GSkX
Biwi  Outreach Clinic (Kamsonga),,Biwi  Outreach Clinic (Kamsonga),yOyA2C1FWS2,m9IaQF4jaPL
Biwi  Village Clinic (Kamsonga),,Biwi  Village Clinic (Kamsonga),rfJrlgq1YG5,m9IaQF4jaPL
Biwi Health Centre,1519,Biwi Health Centre,fxSjk6Zaksj,MDkBXGJ5CyR
Biwi James Outreach Clinic (Kaphuka),,Biwi James Outreach Clinic (Kaphuka),q8bF0oLRMOw,wGMlG6WZZ4q
Biwi Outreach Clinic (Lilongwe City Council),,Biwi Outreach Clinic (Lilongwe City Council),Yi2CxNzmijf,m6bNWBsRDsi
Biwi Village Clinic (Chiwoza),,Biwi Village Clinic (Chiwoza),XsGfIzDX1j3,ivq1pAeZs5o
Bizaliyele Outreach Clinic (Sharpvale),,Bizaliyele Outreach Clinic (Sharpvale),HNRTDlC2zfa,Wwu7pZG2KuR
Black Outreach Clinic (Chikande),,Black Outreach Clinic (Chikande),yTk7LD3dnyh,fmvjc3pgmee
Blantyre Adventist Hospital,2929,Blantyre Adventist Hospital,VOnPaWYUVJK,FEGZA6BEAjj
Blantyre City Assembly Clinic,2930,Blantyre City Assembly Clinic,kAU4FFex0Pa,FEGZA6BEAjj
Blantyre Civic Centre Dispensary,2901,Blantyre-Civic-Centre-DISP,PlWhhBj3LXE,FEGZA6BEAjj
Blantyre DHO Mobile Clinic,,Blantyre DHO MOBILE CLINIC,SSD4mvMj5fu,FEGZA6BEAjj
Blantyre Dream Project,5040,Blantyre Dream Project,BYyTYjcnELU,FEGZA6BEAjj
Blantyre Water Board Clinic,,Blantyre Water Board Clinic,mHcl2OS43ah,FEGZA6BEAjj
Blantyre-DHO,,Blantyre-DHO,FEGZA6BEAjj,X10UsRjL1l0
Blessings Hospital,4038,Blessings Hospital,Y8mjMFSYoPw,MDkBXGJ5CyR
BLM Family Planning Clinic,,BLM Family Planning,oqM5ZFHyymE,FEGZA6BEAjj
Blm Karonga,215,Blm Karonga,XbhazSb57LF,WVBSPqTMrPP
Blm Lunzu,2934,Blm Lunzu,ILDhbeuLBtX,FEGZA6BEAjj
Blm Mzimba,570,Blm Mzimba,eRFNJ66WIWi,PoWQdy5S9Xi
Blm Nkhatabay,322,Blm Nkhatabay,QsSrtfLO11f,P1HnUkQDPw0
Blm Rumphi,425,Blm Rumphi,x8xrWAL5gAZ,M8moEd4dNYo
Blm Zomba,2759,Blm Zomba,ODxMk91ZMph,hrbAl7aUBwV
Block 3 Outreach Clinic,,Block 3 Outreach Clinic,OzmRhw8sAYC,z9yDHU0ZYQd
Block 3 Village Clinic,,Block 3 Village Clinic,vSqIIn1HINP,z9yDHU0ZYQd
Block A  Outreach Clinic,,Block A  Outreach Clinic,CSzcfnZqbKq,mwyB6seePPU
Block C Outreach Clinic,,Block C Outreach Clinic,Z8mFTsXBYNR,mwyB6seePPU
Block D Outreach Clinic,,Block D Outreach Clinic,V3VpQR0k9tL,sZJvRZgWusR
Block D Village Clinic,,Block D Village Clinic,UYSEPrnRD1Z,sZJvRZgWusR
