resource,data_set,name,org_units,frequency,report_due_day,short_name,program,report_type
/dataValueSets,xQUOwRouoUc,OTP Monthly Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Monthly,14,otp_monthly,,aggregate
/dataValueSets,EzqGB7LV5SO,Ombudsman Monthly Reporting Form,"Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Neno District Hospital,Zalewa Dispensary",Monthly,14,ombudsman_monthly,,aggregate
/dataValueSets,I93JjJkJfhB,Palliative Care Monthly Reporting Form,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Magareta Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Nsambe Sda Health Centre",Monthly,14,palliative_monthly,,aggregate
/dataValueSets,a7bx6nhebxi,Physiotherapy Monthly Reporting Form,Neno District Hospital,Monthly,14,physiotherapy_monthly,,aggregate
/dataValueSets,mkD9UHGim8B,Post Natal Care Clinic -Facility Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,post_natal_monthly,,aggregate
/dataValueSets,JyCRZ1d9TLr,SFP Monthly Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Monthly,14,sfp_monthly,,aggregate
/dataValueSets,ensHdPmqS5l,STI Monthly Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,sti_monthly,,aggregate
/dataValueSets,JPOW1m0J9F2,Social Behaviour Change and Communication District Monthly Reporting Form,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Monthly,14,social_behaviour_monthly,,aggregate
/dataValueSets,SibrDizn3Ha,VMMC Monthly Report,"Lisungwi Community Hospital,Neno District Hospital",Monthly,14,vmmc_monthly,,aggregate
/dataValueSets,clFAnObeT24,Youth Friendly Health Services Monthly Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,youth_friendly_monthly,,aggregate
