resource,data_set,name,org_units,frequency,report_due_day,short_name,program,report_type
/dataValueSets,Yz1PMQk1QlF,HTC Health Facility Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,htc_monthly,,aggregate
/dataValueSets,hWDsGIjs16g,IMCI Village Clinic Monthly Consolidation Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Monthly,14,imci_monthly,,aggregate
/dataValueSets,ACmZFToDqxh,Kangaroo Mother Care Monthly Reporting Form,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Neno District Hospital,Neno Parish Health Centre,Nsambe Sda Health Centre",Monthly,14,kangaroo_monthly,,aggregate
/dataValueSets,aYZsjFwm4P9,Malaria Health Facility Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,malaria_monthly,,aggregate
/dataValueSets,U31O0OHvtuS,Maternal and Neonatal Death Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Neno District Hospital,Neno Parish Health Centre,Nsambe Sda Health Centre",Monthly,14,maternal_monthly,,aggregate
/dataValueSets,B0UtGNECmZW,Maternity Monthly Report,"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Neno District Hospital,Neno Parish Health Centre,Nsambe Sda Health Centre",Monthly,14,maternity_monthly,,aggregate
/dataValueSets,Fdn3C7gKoju,Mental Health Facility Report,"Lisungwi Community Hospital,Neno District Hospital",Monthly,14,mental_health_monthly,,aggregate
/dataValueSets,u6Hzce4ljhO,Monthly Surveillance Report Form (IDSR),"Chifunga Health Centre,Dambe Health Centre,Ligowe Dispensary,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Midzemba Dispensary,Neno District Hospital,Neno Parish Health Centre,Nkula Health Centre,Nsambe Sda Health Centre,Tedzani Escom Clinic,Zalewa Dispensary",Monthly,14,monthly_surveillance,,aggregate
/dataValueSets,Ypkc56U3ecs,NCST Monthly Report,"Chifunga Health Centre,Lisungwi Community Hospital,Luwani Health Centre,Magareta Health Centre,Matandani Health Centre,Matope Health Centre,Neno District Hospital,Nkula Health Centre,Nsambe Sda Health Centre,Zalewa Dispensary",Monthly,14,ncst_monthly,,aggregate
/dataValueSets,I6cB2WrHnNF,NRU Monthly Report,Neno District Hospital,Monthly,14,nru_monthly,,aggregate
